Date,Open,High,Low,Close,Volume
2024-11-06 16:47:00,1.07088,1.07089,1.07073,1.0708,57
2024-11-06 16:48:00,1.07079,1.07122,1.07079,1.07112,76
2024-11-06 16:49:00,1.07112,1.07116,1.07068,1.07076,68
2024-11-06 16:50:00,1.07076,1.07102,1.07054,1.07068,72
2024-11-06 16:51:00,1.0707,1.0707,1.07051,1.07052,77
2024-11-06 16:52:00,1.07053,1.07069,1.07034,1.07044,56
2024-11-06 16:53:00,1.07043,1.07046,1.07008,1.07008,61
2024-11-06 16:54:00,1.07008,1.0703,1.06983,1.07027,48
2024-11-06 16:55:00,1.07028,1.07053,1.07013,1.07047,75
2024-11-06 16:56:00,1.07048,1.07119,1.07048,1.07118,71
2024-11-06 16:57:00,1.07122,1.07147,1.07109,1.07147,68
2024-11-06 16:58:00,1.07153,1.07188,1.07153,1.07183,68
2024-11-06 16:59:00,1.07183,1.07191,1.07157,1.07157,68
2024-11-06 17:00:00,1.07154,1.07288,1.07154,1.07276,84
2024-11-06 17:01:00,1.07277,1.07293,1.07233,1.07242,81
2024-11-06 17:02:00,1.07243,1.07265,1.07231,1.07261,68
2024-11-06 17:03:00,1.07261,1.07263,1.07215,1.07215,77
2024-11-06 17:04:00,1.07214,1.07217,1.07168,1.07186,72
2024-11-06 17:05:00,1.07188,1.07217,1.07186,1.07209,64
2024-11-06 17:06:00,1.07213,1.0723799999999999,1.07193,1.07236,62
2024-11-06 17:07:00,1.07224,1.07286,1.07216,1.07279,73
2024-11-06 17:08:00,1.07279,1.07374,1.07277,1.0737,76
2024-11-06 17:09:00,1.07368,1.0737,1.07304,1.07318,70
2024-11-06 17:10:00,1.07313,1.07342,1.07272,1.07273,75
2024-11-06 17:11:00,1.07273,1.07277,1.07237,1.0725,65
2024-11-06 17:12:00,1.07249,1.07279,1.07241,1.07271,80
2024-11-06 17:13:00,1.07266,1.07266,1.07217,1.07232,77
2024-11-06 17:14:00,1.07232,1.0723799999999999,1.07221,1.07225,68
2024-11-06 17:15:00,1.07226,1.07246,1.07225,1.07236,53
2024-11-06 17:16:00,1.07231,1.07258,1.07221,1.07246,70
2024-11-06 17:17:00,1.07246,1.07252,1.07224,1.0724,58
2024-11-06 17:18:00,1.07241,1.07267,1.07241,1.07252,72
2024-11-06 17:19:00,1.07252,1.07252,1.0722,1.07228,54
2024-11-06 17:20:00,1.07232,1.07281,1.07232,1.0727,56
2024-11-06 17:21:00,1.07269,1.07269,1.07221,1.07221,69
2024-11-06 17:22:00,1.07222,1.07234,1.07218,1.07218,54
2024-11-06 17:23:00,1.07217,1.07217,1.07191,1.07193,64
2024-11-06 17:24:00,1.07193,1.07203,1.07156,1.07156,63
2024-11-06 17:25:00,1.07154,1.07163,1.07141,1.07144,66
2024-11-06 17:26:00,1.07154,1.07187,1.07151,1.07186,72
2024-11-06 17:27:00,1.07185,1.07235,1.07178,1.07233,75
2024-11-06 17:28:00,1.07232,1.07266,1.07232,1.07251,61
2024-11-06 17:29:00,1.07247,1.07289,1.07245,1.07281,77
2024-11-06 17:30:00,1.07282,1.07297,1.07263,1.07284,71
2024-11-06 17:31:00,1.07287,1.0731600000000001,1.07276,1.07297,76
2024-11-06 17:32:00,1.07297,1.07302,1.0727,1.07277,76
2024-11-06 17:33:00,1.07276,1.07292,1.07261,1.07279,65
2024-11-06 17:34:00,1.07281,1.07305,1.07277,1.07291,66
2024-11-06 17:35:00,1.07292,1.07305,1.07272,1.07274,77
2024-11-06 17:36:00,1.07275,1.07275,1.07221,1.07258,98
2024-11-06 17:37:00,1.07261,1.07274,1.07242,1.07246,65
2024-11-06 17:38:00,1.07246,1.07272,1.07241,1.07253,55
2024-11-06 17:39:00,1.07253,1.07253,1.07209,1.07216,67
2024-11-06 17:40:00,1.07219,1.07231,1.07201,1.07227,72
2024-11-06 17:41:00,1.07227,1.07237,1.07214,1.07224,59
2024-11-06 17:42:00,1.07224,1.07232,1.07209,1.07222,57
2024-11-06 17:43:00,1.07223,1.07252,1.07222,1.07252,63
2024-11-06 17:44:00,1.07253,1.07268,1.07231,1.07237,63
2024-11-06 17:45:00,1.07237,1.07272,1.07236,1.07272,60
2024-11-06 17:46:00,1.07272,1.07291,1.07263,1.07285,80
2024-11-06 17:47:00,1.07282,1.07307,1.07281,1.07302,68
2024-11-06 17:48:00,1.07301,1.0731600000000001,1.07289,1.07303,68
2024-11-06 17:49:00,1.07305,1.07343,1.07302,1.07343,72
2024-11-06 17:50:00,1.07343,1.07376,1.07337,1.07371,71
2024-11-06 17:51:00,1.07375,1.0738,1.0735999999999999,1.07372,68
2024-11-06 17:52:00,1.07372,1.07397,1.07372,1.07391,65
2024-11-06 17:53:00,1.0739,1.07392,1.07345,1.07345,78
2024-11-06 17:54:00,1.07344,1.07345,1.07294,1.07294,66
2024-11-06 17:55:00,1.07301,1.07374,1.07301,1.07372,82
2024-11-06 17:56:00,1.07373,1.07373,1.07328,1.0735999999999999,82
2024-11-06 17:57:00,1.07361,1.0738,1.07353,1.07373,68
2024-11-06 17:58:00,1.07374,1.07384,1.07364,1.0737,74
2024-11-06 17:59:00,1.0737,1.07382,1.07368,1.07382,59
2024-11-06 18:00:00,1.07379,1.07383,1.07372,1.07383,62
2024-11-06 18:01:00,1.07384,1.0739,1.07379,1.07384,53
2024-11-06 18:02:00,1.07385,1.07414,1.07375,1.07397,62
2024-11-06 18:03:00,1.07399,1.0745,1.07399,1.07434,89
2024-11-06 18:04:00,1.07434,1.07434,1.07402,1.07403,54
2024-11-06 18:05:00,1.07404,1.07418,1.07388,1.07409,78
2024-11-06 18:06:00,1.07414,1.07415,1.0737,1.07371,65
2024-11-06 18:07:00,1.07373,1.07384,1.07348,1.07355,70
2024-11-06 18:08:00,1.07359,1.07363,1.07347,1.07351,52
2024-11-06 18:09:00,1.07351,1.07395,1.0735,1.07394,64
2024-11-06 18:10:00,1.07394,1.07404,1.07384,1.07386,42
2024-11-06 18:11:00,1.0739,1.0741,1.07379,1.07407,51
2024-11-06 18:12:00,1.07406,1.07415,1.07382,1.07382,58
2024-11-06 18:13:00,1.07382,1.07385,1.07353,1.07365,57
2024-11-06 18:14:00,1.07365,1.07375,1.07354,1.07361,66
2024-11-06 18:15:00,1.07362,1.07367,1.07338,1.07339,63
2024-11-06 18:16:00,1.07338,1.07345,1.0731600000000001,1.0734,78
2024-11-06 18:17:00,1.0734,1.07341,1.07307,1.07311,60
2024-11-06 18:18:00,1.07313,1.07318,1.07285,1.0731,68
2024-11-06 18:19:00,1.07312,1.07324,1.07295,1.07322,62
2024-11-06 18:20:00,1.07318,1.0732,1.07275,1.07285,72
2024-11-06 18:21:00,1.07294,1.07309,1.0728,1.07285,44
2024-11-06 18:22:00,1.07286,1.07294,1.07275,1.07289,64
2024-11-06 18:23:00,1.07295,1.07319,1.0729,1.07314,53
2024-11-06 18:24:00,1.0731,1.07318,1.07296,1.07318,62
2024-11-06 18:25:00,1.07319,1.07341,1.07317,1.07336,53
2024-11-06 18:26:00,1.07337,1.07356,1.07326,1.07333,55
2024-11-06 18:27:00,1.07335,1.07346,1.07327,1.0733,54
2024-11-06 18:28:00,1.07335,1.07337,1.07315,1.07325,57
2024-11-06 18:29:00,1.07325,1.0733,1.07305,1.07308,36
2024-11-06 18:30:00,1.07307,1.07318,1.07292,1.07304,49
2024-11-06 18:31:00,1.07306,1.07306,1.0728,1.07286,49
2024-11-06 18:32:00,1.07284,1.07286,1.07271,1.07281,54
2024-11-06 18:33:00,1.07281,1.07292,1.07262,1.07267,61
2024-11-06 18:34:00,1.07266,1.07286,1.07264,1.07286,45
2024-11-06 18:35:00,1.07286,1.07296,1.07274,1.07274,47
2024-11-06 18:36:00,1.07276,1.07287,1.07272,1.07286,43
2024-11-06 18:37:00,1.07285,1.07317,1.07284,1.07311,51
2024-11-06 18:38:00,1.07311,1.07317,1.073,1.07311,42
2024-11-06 18:39:00,1.07311,1.07311,1.07274,1.07285,49
2024-11-06 18:40:00,1.07282,1.07285,1.07263,1.07277,52
2024-11-06 18:41:00,1.07276,1.07305,1.07276,1.07297,41
2024-11-06 18:42:00,1.07297,1.07315,1.07296,1.07311,39
2024-11-06 18:43:00,1.07311,1.07324,1.07303,1.0732,43
2024-11-06 18:44:00,1.07317,1.07317,1.07297,1.07304,44
2024-11-06 18:45:00,1.073,1.07304,1.0728,1.07301,49
2024-11-06 18:46:00,1.07302,1.07317,1.07295,1.07295,41
2024-11-06 18:47:00,1.07296,1.07296,1.07282,1.07286,46
